Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date,Coin
Close_t-2,264.69853326816707,264.69853326816707,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-1,255.5342530509189,255.5342530509189,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-3,253.83181276891256,253.83181276891256,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-4,234.41709854309644,234.41709854309644,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-0,210.9505618365,210.9505618365,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-5,210.82654162033663,210.82654162033663,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-6,189.85503960762648,189.85503960762648,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-7,167.43075910653278,167.43075910653278,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-8,150.21879373328537,150.21879373328537,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-9,139.4654532509714,139.4654532509714,2022-03-01,Deep Learning LSTM,ETH,1 day ahead,2022-03-01,ETH - Ethereum
Close_t-2,267.2267010611209,267.2267010611209,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-1,259.45103379770404,259.45103379770404,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-3,256.98089094541444,256.98089094541444,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-4,233.66662402121847,233.66662402121847,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-5,214.6692006018171,214.6692006018171,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-0,214.26358464244404,214.26358464244404,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-6,188.51255949488487,188.51255949488487,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-7,169.45641226645424,169.45641226645424,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-8,151.51180605381967,151.51180605381967,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-9,135.33769012896457,135.33769012896457,2022-03-02,Deep Learning LSTM,ETH,1 day ahead,2022-03-02,ETH - Ethereum
Close_t-2,265.08746701786805,265.08746701786805,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-1,258.76447079877096,258.76447079877096,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-3,253.48915140852407,253.48915140852407,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-4,236.08624850719016,236.08624850719016,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-5,213.28927967234736,213.28927967234736,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-0,210.8168792265641,210.8168792265641,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-6,189.45277179290284,189.45277179290284,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-7,170.4087920418706,170.4087920418706,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-8,151.12055428319434,151.12055428319434,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-9,137.90547071373723,137.90547071373723,2022-03-03,Deep Learning LSTM,ETH,1 day ahead,2022-03-03,ETH - Ethereum
Close_t-2,266.40853879409144,266.40853879409144,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-1,254.0966427195621,254.0966427195621,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-3,253.24240510705565,253.24240510705565,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-4,232.34897867684083,232.34897867684083,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-0,212.93249753467865,212.93249753467865,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-5,209.0751784830871,209.0751784830871,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-6,191.09531246775143,191.09531246775143,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-7,167.45320889809986,167.45320889809986,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-8,153.02412942157264,153.02412942157264,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-9,138.89079236899966,138.89079236899966,2022-03-04,Deep Learning LSTM,ETH,1 day ahead,2022-03-04,ETH - Ethereum
Close_t-2,266.4662910741954,266.4662910741954,2022-03-05,Deep Learning LSTM,ETH,1 day ahead,2022-03-05,ETH - Ethereum
Close_t-1,257.89843289113225,257.89843289113225,2022-03-05,Deep Learning LSTM,ETH,1 day ahead,2022-03-05,ETH - Ethereum
Close_t-3,254.12082085412789,254.12082085412789,2022-03-05,Deep Learning LSTM,ETH,1 day ahead,2022-03-05,ETH - Ethereum
